City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,wailua homesteads,22.0669,-159.378,26.44,83,20,7.2,US,1730168694
123,chonchi,-42.6128,-73.8092,8.95,98,33,1.29,CL,1730168694
124,bakanas,44.8081,76.2772,5.93,57,100,2.22,KZ,1730168694
125,kristiansund,63.1115,7.732,3.4,87,94,0.51,NO,1730168694
126,assab,13.0092,42.7394,28.57,74,13,8.8,ER,1730168694
127,beidao,34.5686,105.8933,14.95,60,94,2.02,CN,1730168695
128,champerico,14.3,-91.9167,28.35,74,85,1.21,GT,1730168695
129,enewetak,11.3474,162.3373,28.79,73,79,5.1,MH,1730168695
130,ust-nera,64.5667,143.2,-17.44,94,93,1.33,RU,1730168695
131,betong,5.7743,101.0723,26.1,84,63,0.81,TH,1730168695
132,kapuskasing,49.4169,-82.4331,3.05,75,100,8.75,CA,1730168695
133,alice springs,-23.7,133.8833,30.75,10,88,7.72,AU,1730168511
134,nikolayevsk-on-amure,53.1406,140.73,0.78,71,91,4.35,RU,1730168695
135,minot air force base,48.4209,-101.3391,9.1,70,40,3.6,US,1730168695
136,beinamar,8.6698,15.3813,23.31,63,5,0.5,TD,1730168695
137,tamanrasset,22.785,5.5228,16.95,27,0,2.57,DZ,1730168695
138,swakopmund,-22.6833,14.5333,11.1,85,0,1.34,NA,1730168696
139,tazovsky,67.4667,78.7,-9.52,99,96,1.51,RU,1730168696
140,maues,-3.3836,-57.7186,27.57,37,0,1.68,BR,1730168696
141,salinas,36.6777,-121.6555,14.91,90,20,5.14,US,1730168260
142,carnarvon,-24.8667,113.6333,26.86,51,0,5.24,AU,1730168696
143,utrik,11.2278,169.8474,28.35,78,47,4.9,MH,1730168696
144,namibe,-15.1961,12.1522,17.7,85,10,1.72,AO,1730168696
145,chapada dos guimaraes,-15.4606,-55.7497,20.16,97,98,1.16,BR,1730168696
146,kirakira,-10.4544,161.9205,29.4,72,23,3.53,SB,1730168696
147,avarua,-21.2078,-159.775,24.03,73,100,5.66,CK,1730168696
148,vadso,70.0744,29.7487,4.09,75,88,12.35,NO,1730168696
149,koungou,-12.7336,45.2042,26.84,83,75,3.6,YT,1730168697
150,east london,-33.0153,27.9116,16.44,67,63,1.94,ZA,1730168697
151,charlestown,-32.95,151.6667,21.34,68,44,1.34,AU,1730168697
152,guerrero negro,27.9769,-114.0611,18.85,89,1,7.82,MX,1730168697
153,chinsali,-10.5414,32.0816,19.57,82,10,1.78,ZM,1730168697
154,al kharijah,25.4514,30.5464,18.06,45,5,3.57,EG,1730168697
155,port mathurin,-19.6833,63.4167,23.33,76,62,4.52,MU,1730168697
156,pisco,-13.7,-76.2167,17.03,88,0,5.66,PE,1730168697
157,egilsstadir,65.2653,-14.3948,7.95,61,75,5.14,IS,1730168697
158,yaring,6.8662,101.3689,29.18,68,86,5.44,TH,1730168698
159,saint-vith,50.2815,6.1272,10.64,98,29,1.95,BE,1730168698
160,port-gentil,-0.7193,8.7815,25.31,88,100,2.71,GA,1730168698
161,forster,-32.1667,152.5167,20.21,73,100,3.39,AU,1730168698
162,nuuk,64.1835,-51.7216,-2.66,74,75,1.54,GL,1730168513
163,padang,-0.9492,100.3543,29.03,61,9,1.58,ID,1730168698
164,richards bay,-28.783,32.0377,19.91,85,0,5.61,ZA,1730168698
165,weno,7.4515,151.8468,31.97,74,40,3.6,FM,1730168698
166,vilyuchinsk,52.9306,158.4028,4.15,77,100,7.16,RU,1730168698
167,bembereke,10.2283,2.6634,21.63,47,100,0.63,BJ,1730168698
168,mersing,2.4312,103.8405,29.95,79,20,3.6,MY,1730168698
